sentence,episode,matched_name,cleaned_sentence
"hey, what do you expect me to do?!",344,tony tony chopper,hey expect
like i'd show you! this conversation...! it's exactly the same as with him.,345,nami,like conversation exactly
there's no escaping for you!,345,hogback,escape
w-what...? i thought he was gonna cut us.,345,nami,wwhat think cut
that surprised me. what was he trying?,345,tony tony chopper,surprise try
"it doesn't matter! oi, this is our chance to escape! the door is wide open!",345,usopp,matter chance escape door wide open
y-you're right!,345,nami,yyou
they must've done something at a certain point. we've lost an important man.,345,roronoa zoro,certain point lose important man
hey now...,345,franky,hey
but... that's right... sanji should be fine.,345,monkey d. luffy,sanji fine
"go! go! you'll soon come to learn how fearsome our master really is! our real boss is the ""royal shichibukai"" gecko mori- i can't say it!! it makes my soul freeze over! just saying that name makes my soul freeze alright! your missing nakama are no longer in good shape! one by one, your nakama will start disappearing. you should turn back. before the shichibukai, gecko- no, before our master's power shows you that you can't save anyone!",345,wall zombie,soon come learn fearsome master really real bos royal shichibukai gecko mori say make soul freeze say make soul freeze alright miss nakama longer good shape nakama start disappear turn shichibukai gecko master power save
"stop babbling. then, give that idiot moria this message. if anything happens to my nakama... i'll kick your ass off this island!",345,monkey d. luffy,stop babbling idiot moria message happen nakama kick island
awaken! general zombies! revive... ancient warriors! go forth! fearsome general zombies!,345,absalom,awaken general zombie revive ancient warrior forth fearsome general zombie
"no matter where they try to run, track them down and drag them here! no one can match the zombie generals! oi, stop wasting time, captain john. you're really not living up to your lifetime's infamous reputation.",345,absalom,matter try run track drag match zombie general stop wasting time captain john really live lifetime infamous reputation
geez... he never changes...,345,absalom,geez change
ab-sama... marry me!,345,lola,absama marry
lola! you...! go and fight this instant! i'm your commander here!,345,absalom,lola fight instant commander
"then, marry me.",345,lola,marry
why would i?! lola... what're you...?! aren't you gonna listen to the grave ab-sama orders?!,345,absalom,lola listen grave absama order
"then, marry me!",345,lola,marry
"stop joking! i'm a human! i need to have a human bride! hey, lola... think about it. you're a female warthog zombie. you're dead and rotting! stop it! oi, what a terrifying method! isn't that a marriage certificate?! to think you're forcing me to marry you!",345,absalom,stop joking human need human bride hey lola think female warthog zombie dead rot stop terrify method marriage certificate think force marry
"i can't resist that wild muzzle of yours. absalom, give me your finger. i love you!",345,lola,resist wild muzzle absalom finger love
don't mess around! i don't wanna spend my days being haunted by a dead animal!,345,absalom,mess wan spend day haunt dead animal
hanayome bujutsu! hanayome bujutsu: bridal arts chikai no kiss! chikai no kiss: vow kiss hanayome bujutsu! chikai no hug! chikai no hug: vow hug i love you to death!,345,lola,hanayome bujutsu hanayome bujutsu bridal art chikai kiss chikai kiss vow kiss hanayome bujutsu chikai hug chikai hug vow hug love death
you're already dead!,345,absalom,dead
"even if i'm a dead and rotting zombie, my love for ab-sama is immortal. marry me!",345,lola,dead rot zombie love absama immortal marry
i already told you! i'm-,345,absalom,tell
"i'll borrow your finger! running away, bastard?! i love you! hanayome bujutsu! chikai no love attack! relationship approval!",345,lola,borrow finger run away bastard love hanayome bujutsu chikai love attack relationship approval
"wait, lola! listen carefully. i've already... i've already chosen the woman who'll be my bride! she certainly has a strong temper, but she's a weak, flesh and blood woman in the end!",345,absalom,wait lola listen carefully choose woman bride certainly strong temper weak flesh blood woman end
you'll fail again anyways.,345,lola,fail anyways
"idiot, look! she's one of the pirates who landed on this island, perfectly suited to become this handsome man's bride.",345,absalom,idiot look pirate land island perfectly suit handsome man bride
i won't let it happen! that woman... i'll get rid of her!,345,lola,happen woman rid
wait! lola!,345,absalom,wait lola
that zombie old man from earlier said that since the moment we set foot here... gecko moria has been keeping a close eye on us. moria might have something to do with the curly cook's disappearance.,345,franky,zombie old man early say moment set foot gecko moria close eye moria curly cook disappearance
"that stupid cook. he's paying for his incompetence. anyway, this is a strange place for a shichibukai to be.",345,roronoa zoro,stupid cook pay incompetence strange place shichibukai
what could he be doing with the stolen shadows of pirates?,345,franky,stolen shadow pirate
he must have some interest in them.,345,nico robin,
"i promised that geezer i'd kick moria's ass, but... we'll leave that for later.",345,monkey d. luffy,promise geezer kick moria leave later
"stop oinking and show us the way, stupid piglet!",345,monkey d. luffy,stop oinking way stupid piglet
what's wrong?,345,franky,wrong
"nothing, just my imagination.",345,roronoa zoro,imagination
"oi, bearsy! bearsy! the risky brothers are bringing a coffin here. when you receive it, send it to the master's dance hall! is that clear? is that clear or not?!",345,perona,bearsy bearsy risky brother bring coffin receive send master dance hall clear clear
"don't answer, it's not cute! from now on, i'll be commanding the treasure collecting group toward the ship. if anything happens, come and tell me, got it? that's it, when you don't say anything, you're so cute!",345,perona,answer cute command treasure collect group ship happen come tell say cute
you! you talked just now!,345,perona,talk
huh? where am i?,345,tony tony chopper,huh
"usopp! nami! oi, hang in there! wake up!",345,tony tony chopper,usopp nami hang wake
the samurai... certainly... did he strike us with the back of the blade?,345,usopp,samurai certainly strike blade
it seems it was raining here. the ground is a little wet. where are we?,345,nami,rain ground little wet
"i don't know, but... just now those squirrels were carrying us to be delivered in that coffin.",345,tony tony chopper,know squirrel carry deliver coffin
isn't this an iron coffin?!,345,usopp,iron coffin
it looks like... we're currently behind the mansion. hogback's laboratory was on the top floor. they've already carried us a long way it seems.,345,nami,look like currently mansion hogback laboratory floor carry long way
"oi, look behind you! there's a sturdy building on the opposite side!",345,tony tony chopper,look sturdy building opposite
what's that? there was such a huge building behind the mansion all this time?,345,usopp,huge building mansion time
usopp! chopper! i've figured out where we are!,345,nami,usopp chopper figure
what is it? what do you mean?,345,usopp,mean
we're on the passage that connects the mansion to that huge building.,345,nami,passage connect mansion huge building
"passage? it's so wide, almost like a forest. even if it's been made a forest, they were carrying our coffin here while we were unconscious. that means, they had to have been carrying us to that building.",345,usopp,passage wide like forest make forest carry coffin unconscious mean carry building
that's probably the place where zombies are made.,345,nami,probably place zombie make
i'm glad we woke up! let's run!,345,tony tony chopper,glad wake run
"that's right! let's run, right away!",345,usopp,run away
wait a minute! we didn't get any treasure because we got scared and started running around screaming... is that alright?,345,nami,wait minute treasure scar start run scream alright
"what're you thinking, idiot?!",345,usopp,think idiot
"my ""something is wrong"" sensor is having a huge response!",345,tony tony chopper,wrong sensor huge response
"let's just run away, nami!",345,usopp,run away nami
that's right! that's right!,345,tony tony chopper,
i clearly remember what the zombie said back then.,345,nami,clearly remember zombie say
what a shame! the treasure storehouse isn't here!,345,wall zombie,shame treasure storehouse
"stop thinking useless stuff, let's run!",345,usopp,stop thinking useless stuff run
"let's run, nami!",345,tony tony chopper,run nami
how stupid! i finally understand! i was just too scared at the time!,345,nami,stupid finally understand scar time
"then, where do we run? forward? back?",345,nami,run forward
"that's one hard decision. if we go back to the mansion, we'll most likely run into that samurai again.",345,usopp,hard decision mansion likely run samurai
"but, we might run into scarier guys if we head forward.",345,tony tony chopper,run scary head forward
what're these little animals? penguins?,345,nami,little animal penguin
like we care about that kinda member info!,345,usopp,like care kinda member info
chopper!,345,nami,chopper
"nami, usopp... i'll hold them here!",345,tony tony chopper,nami usopp hold
"no matter where we run, it's obvious we'll come across more strange zombies!",345,nami,matter run obvious come strange zombie
"besides, those animals are much faster than us when it comes to running!",345,usopp,animal fast come run
"that's right, i'm a reindeer!",345,tony tony chopper,reindeer
don't compare me to you!,345,tony tony chopper,compare
"what?! i'll get rid of you... one by one! ouch! w-what?! you wanna fight, kangaroo-like zebra!?! o-or... is it zebra-like kangaroo? well, no matter which one it is! i'll warn you about one thing! i'm the unrivaled champion with over 50 victories in the world pirate boxing championship! you really wanna get close to my absolute defense pose?! take this! phantom right! i-i admit it, you have some skill.",345,usopp,rid ouch wwhat wan fight kangaroolike zebra oor zebralike kangaroo matter warn thing unrivaled champion victory world pirate box championship really wan close absolute defense pose phantom admit skill
dogs shouldn't talk!,345,nami,dog talk
i kn-kn-know. here he comes! no good! alright! just as planned! this is bad! i'm sorry! outta the way!,345,usopp,knknknow come good alright plan bad sorry outta way
this way!,345,nami,way
"that was close! if you're angry, dare to come here! dare to come! come and spank us! this is for you! don't come! don't come! take this! how do you like usopp-sama's awesome sniping skills?!",345,usopp,close angry dare come dare come come spank come come like usoppsama awesome sniping skill
"no good! no matter how much i try, there's too many of them! usopp! nami!",345,tony tony chopper,good matter try usopp nami
"damn it, nami! what're you...?!",345,usopp,damn nami
usopp! fire! fire? use fire! these guys are zombies!,345,tony tony chopper,usopp use zombie
help me! they're gonna bite me!,345,nami,help bite
let go...! don't come any closer!,345,nami,come closer
a zombie's weakness is... hissatsu. kaen boshi.,345,usopp,zombie weakness hissatsu kaen boshi
fire! that's dangerous!,345,wall zombie,dangerous
"it worked a lot better than i'd thought. eat this, you carpet bear!",345,usopp,work lot good think eat carpet bear
fire! so scary! put it out! the one in the chandelier is doing it! someone take him out!,345,wall zombie,scary chandelier
take this! take this! that's right! i can still use that! hissatsu. kaen boshi. one more time!,345,usopp,use hissatsu kaen boshi time
"usopp! chopper! watch out, behind you! usopp... chopper...",345,nami,usopp chopper watch usopp chopper
bastard! what're you doing to your nakama! your enemy is that woman! she's the one you should beat!,345,wall zombie,bastard nakama enemy woman beat
"oi! what's wrong?! oi piglet! you did something again, didn't you?! spit it out!",345,monkey d. luffy,wrong piglet spit
and you're laughing now. what an obvious fella.,345,franky,laugh obvious fella
how strange... not even a scream. i wonder if they were strangled to death...,345,nico robin,strange scream wonder strangle death
why is your train of thought always so dark?!,345,franky,train thought dark
how weird... even zoro's disappeared.,345,monkey d. luffy,weird zoro disappear
damn! they keep disappearing!,345,franky,damn disappear
i wonder if you're the next.,345,nico robin,wonder
you're too sinister!,345,franky,sinister
"oi, bearsy! bearsy! the risky brothers are bringing a coffin here. when you receive it, send it to the master's dance hall! is that clear? is that clear or not?!",346,perona,bearsy bearsy risky brother bring coffin receive send master dance hall clear clear
"don't answer, it's un-cute! from now on, i'll be commanding the treasure collecting group toward the ship. if anything happens, come and tell me, got it? that's it, when you don't say anything, you're so cute!",346,perona,answer uncute command treasure collect group ship happen come tell say cute
you! you talked just now!,346,perona,talk
that zombie old man from earlier said that since the moment we set foot here... gecko moria has been keeping a close eye on us. moria might have something to do with the curly cook's disappearance.,346,franky,zombie old man early say moment set foot gecko moria close eye moria curly cook disappearance
"that stupid cook. he's paying for his incompetence. anyway, this is a strange place for a shichibukai to be.",346,roronoa zoro,stupid cook pay incompetence strange place shichibukai
what could he be doing with the stolen shadows of pirates?,346,franky,stolen shadow pirate
he must have some interest in them.,346,nico robin,
"i promised that geezer i'd kick moria's ass, but... we'll leave that for later.",346,monkey d. luffy,promise geezer kick moria leave later
"stop oinking and show us the way, stupid piglet!",346,monkey d. luffy,stop oinking way stupid piglet
usopp!,346,tony tony chopper,usopp
"chopper! watch out, behind you! usopp... chopper...",346,nami,chopper watch usopp chopper
stop! bastard! what're you doing to your nakama! your enemy is that woman! she's the one you should beat!,346,wall zombie,stop bastard nakama enemy woman beat
"oi! piglet! you did something again, didn't you?! spit it out!",346,monkey d. luffy,piglet spit
and you're laughing now. what an obvious fella.,346,franky,laugh obvious fella
how strange... not even a scream. i wonder if they were strangled to death...,346,nico robin,strange scream wonder strangle death
why is your train of thought always so dark?!,346,franky,train thought dark
how weird... even zoro's disappeared.,346,monkey d. luffy,weird zoro disappear
damn.,346,franky,damn
i wonder what's going on. it's strange...,346,nico robin,wonder strange
where did they disappear to anyway?!,346,franky,disappear
i wonder if it was a ghost's doing. i hope they haven't been executed.,346,nico robin,wonder ghost hope execute
"if you've time for such horrible thoughts, you'd better think of a way to help them!",346,franky,time horrible thought better think way help
where did they go?! it can't be helped with zoro and sanji!,346,monkey d. luffy,help zoro sanji
what're you doing at a time like this?!,346,franky,time like
oi! i found the armor lying in there! isn't it a man's romance to wear it?!,346,monkey d. luffy,armor lie man romance wear
no way! romance?! of course!,346,franky,way romance course
"when you gained that iron body, did you change your heart to iron as well?",346,monkey d. luffy,gain iron body change heart iron
please forgive me! i never intended to go so far as to change my heart to iron!,346,franky,forgive intend far change heart iron
"yosh, sing!",346,monkey d. luffy,yosh sing
"when you lose something important, a foreboding wind blows through your heart. please listen... ""the heart of a steely cyborg traveler""",346,franky,lose important foreboding wind blow heart listen heart steely cyborg traveler
hey. we've come to a large hall.,346,nico robin,hey come large hall
really?,346,monkey d. luffy,really
could this be...,346,nico robin,
"robin, are usopp and the others there?!",346,monkey d. luffy,robin usopp
i don't think so. this hall's interior looks like the outside...,346,nico robin,think hall interior look like outside
what's with this place?!,346,monkey d. luffy,place
it's as if it were an arena.,346,franky,arena
franky!,346,monkey d. luffy,franky
who is it?!,346,nico robin,
a moving suit of armor!,346,monkey d. luffy,suit armor
no doubt it's a zombie. it's moving even with those spears in its body.,346,nico robin,doubt zombie spear body
just 'cause zombies are well equipped... i won't be scared...! strong right! the wall was...! since it uses fencing... weapons left! you're wasting my time!,346,franky,cause zombie equipped scar strong wall use fence weapon leave waste time
what is this guy?!,346,monkey d. luffy,
what?!,346,franky,
franky was...!,346,monkey d. luffy,franky
no way!,346,nico robin,way
it'll take more than that to kill me! especially for a corpse like you!,346,franky,kill especially corpse like
he's still getting up.,346,monkey d. luffy,
the latch won't open. he's completely different from the zombies we've seen so far.,346,franky,latch open completely different zombie far
"that guy, speaking from that far!",346,monkey d. luffy,speak far
you bastard!,346,monkey d. luffy,bastard
he's closed off the path!,346,monkey d. luffy,close path
that's not the only path that was closed.,346,nico robin,path close
speaking from my experience... this will be more than just tough.,346,franky,speak experience tough
it's full of armor!,346,monkey d. luffy,armor
"there's no point in fighting them one by one, as our attacks don't harm them. and we'll just be overwhelmed if we try to face them all straight on.",346,franky,point fight attack harm overwhelm try face straight
"i see. you're right, it's not like this is our last battle.",346,monkey d. luffy,like battle
"if we run straight ahead from this hall, we'll probably reach the courtyard.",346,nico robin,run straight ahead hall probably reach courtyard
"yosh! then, the three of us will meet up in there. be careful not to let anyone else disappear.",346,monkey d. luffy,yosh meet careful disappear
of course.,346,nico robin,course
get 'em!,346,wall zombie,
let's go!,346,monkey d. luffy,
lola! where the hell did she go? lola!,346,absalom,lola hell lola
ab-sama!,346,lola,absama
"knock it off, lola! forget about me! i already told you i'll marry this woman!",346,absalom,knock lola forget tell marry woman
"ab-sama is only mine. i won't let you have him, burglar cat!",346,lola,absama burglar cat
"stop it, lola!",346,absalom,stop lola
i'll take your head!,346,lola,head
stop!,346,absalom,stop
what's going on here?!,346,tony tony chopper,
isn't that dog penguin our enemy?,346,usopp,dog penguin enemy
that fighting style... no way...!,346,nami,fight style way
bastard! you've got some nerve for a newcomer! that woman and the others are our enemies! what're you doing?!,346,wall zombie,bastard nerve newcomer woman enemy
there's no doubt... that dog penguin...,346,nami,doubt dog penguin
"the man who beat crocodile. the ship of strawhat and his crew. well then, i'm looking forward to seeing what kind of treasure they have.",346,perona,man beat crocodile ship strawhat crew look forward kind treasure
"oi! let me out of here! is anyone there?! answer, damn it! can't see anything in this darkness! where the hell am i anyway? who the hell are you?! oi, let go of me! what're you doing?! bastard! who're you?! answer me! what's with this light? oi, what're you trying to do?! what?!",346,roronoa zoro,answer damn darkness hell hell bastard answer light try
strong right! don't get too cocky!,346,franky,strong cocky
treinta fleur!,346,nico robin,treinta fleur
move! yosh! this is my chance!,346,monkey d. luffy,yosh chance
damn it! you zombies sure are wasting our time!,346,franky,damn zombie sure waste time
clutch!,346,nico robin,clutch
don't get in our way!,346,monkey d. luffy,way
it seems beating them up isn't working.,346,nico robin,beat work
"damn! no matter how many times we beat them, they keep getting up.",346,franky,damn matter time beat
how stubborn! gomu gomu no... gatling!,346,monkey d. luffy,stubborn gomu gomu gatling
"this technique...! zoro! oi, zoro! what're you doing?! that's dangerous!",346,monkey d. luffy,technique zoro zoro dangerous
who're you? i thought you were zoro.,346,monkey d. luffy,think zoro
jigorou? so you're not zoro after all. how come you can use zoro's techniques?,346,monkey d. luffy,jigorou zoro come use zoro technique
you really resemble zoro! you're exactly like him!,346,monkey d. luffy,really resemble zoro exactly like
you! damn! there's no end to this!,346,franky,damn end
franky! grab on!,346,nico robin,franky grab
damn! you're really stubborn! this is what you use against zombies! fresh fire!,346,franky,damn really stubborn use zombie fresh
prepare the buckets!,346,wall zombie,prepare bucket
what?! damn it!,346,franky,damn
once fleur...,346,nico robin,fleur
slam! where's luffy?!,346,nico robin,slam luffy
"it seems he hasn't come out yet. even if we went back, it'd be hard to find that idiot because he's wearing that armor! could he have disappeared as well?!",346,franky,come hard idiot wear armor disappear
but we can't patiently wait for him. the zombies will be here in no time!,346,nico robin,patiently wait zombie time
oi! strawhat!,346,franky,strawhat
"that hurt, bastard! let me out!",346,monkey d. luffy,hurt bastard
what the...?,346,franky,
"bastards, let me out, damn it! it's not fun, damn it! open the lid!",346,monkey d. luffy,bastard damn fun damn open lid
a coffin?!,346,franky,coffin
"let me out immediately! let me out, i'll kick your ass!",346,monkey d. luffy,immediately kick
that voice just now...!,346,nico robin,voice
"let me out! oi, i'm telling you to let me out!",346,monkey d. luffy,tell
luffy!,346,nico robin,luffy
"no way...! is strawhat inside of that thing?! after him, nico robin! what the hell is he doing?! he let himself get caught! strawhat!",346,franky,way strawhat inside thing nico robin hell catch strawhat
a gigantic spider!,346,nico robin,gigantic spider
this thing's size exceeds that of average insects! it's a monstrous spider!,346,franky,thing size exceed average insect monstrous spider
"let me out i tell you, idiot! open the li-!",346,monkey d. luffy,tell idiot open
"damn, the coffin...! bastard, what're you gonna do with him?!",346,franky,damn coffin bastard
"oi, you! aren't you gonna listen to us?!",346,wall zombie,listen
what's going on here?!,347,tony tony chopper,
isn't that dog penguin our enemy?,347,usopp,dog penguin enemy
that fighting style... no way...,347,nami,fight style way
bastard! you've got some nerve for a newcomer! that woman and the others are our enemies! what're you doing?!,347,wall zombie,bastard nerve newcomer woman enemy
there's no doubt... that dog penguin...,347,nami,doubt dog penguin
how stubborn! gomu gomu no... gatling!,347,monkey d. luffy,stubborn gomu gomu gatling
"this technique...! zoro! oi, zoro! what're you doing?! that's dangerous!",347,monkey d. luffy,technique zoro zoro dangerous
"that hurt, bastard! let me out!",347,monkey d. luffy,hurt bastard
what the...?,347,franky,
"bastards, let me out, damn it! it's not fun, damn it! open the lid!",347,monkey d. luffy,bastard damn fun damn open lid
a coffin?!,347,franky,coffin
"let me out immediately! let me out, i'll kick your ass!",347,monkey d. luffy,immediately kick
that voice just now...!,347,nico robin,voice
what the hell is he doing?! he let himself get caught! strawhat!,347,franky,hell catch strawhat
a gigantic spider!,347,nico robin,gigantic spider
this thing's size exceeds that of average insects! it's a monstrous spider!,347,franky,thing size exceed average insect monstrous spider
"let me out i tell you, idiot! open the li-!",347,monkey d. luffy,tell idiot open
"damn, the coffin...! bastard, what're you gonna do with him?!",347,franky,damn coffin bastard
"oi, what're you doing newcomer?! it's impossible for us, zombies, to betray our master's orders... how come he's disobeying?! moreover, he's as powerful as a general grade!",347,wall zombie,newcomer impossible zombie betray master order come disobey powerful general grade
"as i thought, all those ridiculous things that dog penguin is saying... are almost like sanji's.",347,nami,thought ridiculous thing dog penguin say like sanji
you're right!,347,tony tony chopper,
"oi, dog penguin! do you know something about sanji?! we're sanji's friends, so...",347,usopp,dog penguin know sanji sanji friend
scary!,347,tony tony chopper,scary
he's our enemy after all! what?,347,usopp,enemy
something's coming...,347,tony tony chopper,coming
now what?!,347,usopp,
"wait, lola!",347,absalom,wait lola
"hey! wait, lola!",347,absalom,hey wait lola
come and catch me!,347,lola,come catch
don't mess around! stop already!,347,absalom,mess stop
who do you want to stop? if you wanna stop me...,347,lola,want stop wan stop
what?!,347,absalom,
hanayome bujutsu... hanayome bujutsu: bridal arts chikai no ohimesama dakko! chikai no ohimesama dakko: vow princess embrace,347,lola,hanayome bujutsu hanayome bujutsu bridal art chikai ohimesama dakko chikai ohimesama dakko vow princess embrace
what's that?!,347,absalom,
a-b-sa-ma... receive my warm feelings...,347,lola,absama receive warm feeling
"wait, lola! stop! how many times do i have to tell you. that woman will be...!",347,absalom,wait lola stop time tell woman
what did you say? i couldn't hear you at all. i love you!,347,lola,say hear love
you liar! there's no way you couldn't hear me at this distance!,347,absalom,liar way hear distance
there's no need to be shy.,347,lola,need shy
at least listen to me!,347,absalom,listen
"princess love! i love you, i love you, i love you...",347,lola,princess love love love love
i'm not interested! stop!,347,absalom,interested stop
are they... allies...?,347,usopp,ally
i wonder...,347,tony tony chopper,wonder
you like making it more difficult.,347,lola,like make difficult
stop joking!,347,absalom,stop joking
"then, marry me.",347,lola,marry
you just don't get it!,347,absalom,
love kiss!,347,lola,love kiss
knock it... off!,347,absalom,knock
what?!,347,nami,
i finally found you... burglar cat!,347,lola,finally burglar cat
oh no!,347,absalom,
m-me?! w-wait a minute! i haven't stolen anything yet!,347,nami,mme wwait minute steal
it's useless! i won't let you have ab-sama!,347,lola,useless absama
nami!,347,tony tony chopper,nami
watch out!,347,usopp,watch
don't butt in!,347,lola,butt
watch out!,347,tony tony chopper,watch
dog penguin. dog penguin!,347,usopp,dog penguin dog penguin
are you ok?!,347,tony tony chopper,
why didn't he attack?!,347,usopp,attack
amazing!,347,tony tony chopper,amazing
"to figure out that thing was a woman, you sure are something!",347,usopp,figure thing woman sure
what was that?!,347,lola,
usopp! chopper!,347,nami,usopp chopper
i've got my bride!,347,absalom,bride
"idiots, i'm being kidnapped!",347,nami,idiot kidnap
by who?!,347,tony tony chopper,
wait!,347,usopp,wait
"well then, we shall start the ceremony right away! i've already made the preparations!",347,absalom,shall start ceremony away make preparation
"put me down! you're the invisible man who was in the bathroom, aren't you?!",347,nami,invisible man bathroom
could that be for real?!,347,usopp,real
"so, you're the one from back then!",347,nami,
i've evaluated you. you're most suitable to become my bride! my name is absalom! it's the name of your future husband. be sure to remember it!,347,absalom,evaluate suitable bride absalom future husband sure remember
you've some nerve spying on naked people! keeping my body in shape everyday isn't something i do just to have some perverted beast spy on it! thunder charge!,347,nami,nerve spy naked people body shape everyday pervert beast spy thunder charge
nami! good job! let's just keep running! we're getting outta this forest!,347,usopp,nami good job run outta forest
what?! he hasn't fallen down!,347,nami,fall
"he isn't just anyone, you can tell by looking at him! hurry!",347,usopp,tell look hurry
what... is this shock running through my body...? it's as if i had just been struck by a bolt of lightning! perhaps... this is... love?,347,absalom,shock run body strike bolt lightning love
you won't get away from me!,347,lola,away
"wait, wild zombies! don't lay a hand on that woman!",347,absalom,wait wild zombie lay hand woman
i said wait! i'm aware that you are pelona's underlings. however...! you should still know not to make me angry. don't push your luck. got it?! what do you want?!,347,absalom,say wait aware pelona underling know make angry push luck want
what was that?!,347,absalom,
i told you... not to make me angry!,347,absalom,tell make angry
"wait, burglar cat!",347,lola,wait burglar cat
"oi, nami! she seems to be only after you!",347,usopp,nami
you're right! what did i do?! geez!,347,nami,geez
"if that's true, then... why don't we split into two groups and escape?",347,usopp,true split group escape
"you wanna leave me, cold-hearted monster?!",347,nami,wan leave coldhearted monster
"come here, damn it!",347,lola,come damn
the wild boar is so scary!,347,tony tony chopper,wild boar scary
someone else has to be caught!,347,nami,catch
"wait, don't leave us here!",347,usopp,wait leave
wait!,347,lola,wait
we're done for!,347,tony tony chopper,
"it's over. good-bye, everyone. i'll go reunite with my ship in east blue!",347,usopp,goodbye reunite ship east blue
i won't forgive you!,347,lola,forgive
what's going on?!,347,usopp,
are we safe?!,347,tony tony chopper,safe
she doesn't care for anyone but nami?,347,usopp,care nami
"after her, chopper!",347,usopp,chopper
give me back absalom!,347,lola,absalom
what're you talking about?!,347,nami,talk
nami! you!,347,usopp,nami
leave her alone!,347,tony tony chopper,leave
"run, nami!",347,usopp,run nami
"wait, damn it!",347,lola,wait damn
damn! stop!,347,tony tony chopper,damn stop
could it be that they...,347,franky,
what're you bastards doing?! let me out!,347,monkey d. luffy,bastard
"just like strawhat now, were drawn into the other side of the wall?",347,franky,like strawhat draw wall
"i can't figure out whether you're a dumbass spider or a dumbass monkey, but... that huge spiderweb that the sunny got caught in when we landed was your doing, wasn't it? that means, you were keeping an eye on our actions and tracking us since then.",347,franky,figure dumbass spider dumbass monkey huge spiderweb sunny catch land mean eye action track
i wonder if those big ears also contribute to the info gathering. they look like they could hear very well.,347,nico robin,wonder big ear contribute info gathering look like hear
stop pretending!,347,franky,stop pretending
franky!,347,nico robin,franky
"yeah, i'm aware. it's the worst case scenario. we're completely surrounded. it seems we urgently need a counter-measure. shall i take care of this?!",347,franky,yeah aware bad case scenario completely surround urgently need countermeasure shall care
do as you wish. i'll try to deal with it.,347,nico robin,wish try deal
i'm pretty reliable actually.,347,franky,pretty reliable actually
"well then, let's get started!",347,franky,start
coup de... vent!,347,franky,coup vent
"well, that's how it is.",347,franky,
as violent as always. cien fleur... cien fleur: one hundred flowers wing!,347,nico robin,violent cien fleur cien fleur flower wing
what?! you! you can fly?!,347,franky,fly
"yes, for about five seconds.",347,nico robin,yes second
"too short! but it's long enough. strong right! yosh! got it! now if we can just make it to that entrance, we can follow strawhat!",347,franky,short long strong yosh make entrance follow strawhat
i'm sorry. this is my limit.,347,nico robin,sorry limit
pulling arm! we'll make it! what?!,347,franky,pull arm make
"everyone seems to have fallen into the courtyard. this doesn't mean it's over, but... they won't follow us for now. that went fairly well.",347,nico robin,fall courtyard mean follow fairly
you bastard! how dare you use me as a stepping stone?! what were you trying?!,347,franky,bastard dare use step stone try
it seems they won't get here.,347,nico robin,
"hey, don't act as if you can't hear me! stop ignoring me! what's wrong? they're pretty tough bastards.",347,franky,hey act hear stop ignore wrong pretty tough bastard
what the...? something's... falling...? no! someone is coming!,347,franky,fall come
what is...that?,347,wall zombie,
only bones!,347,brook,bone
"oi, oi! what's with that guy who fell just now?!",347,franky,fell
that hairstyle...!,347,nico robin,hairstyle
"so, it is him.",347,franky,
he's a general zombie with a special body! one of a man who came from the country of wa in the new world!,348,hogback,general zombie special body man come country new world
w-what...? i thought he was gonna cut us.,348,nami,wwhat think cut
"it doesn't matter! oi, this is our chance to escape! the door is wide open!",348,usopp,matter chance escape door wide open
y-you're right!,348,nami,yyou
"that hurt, bastard! let me out! bastards, let me out, damn it! it's not fun, damn it! open the lid!",348,monkey d. luffy,hurt bastard bastard damn fun damn open lid
a coffin?!,348,franky,coffin
that voice just now...!,348,nico robin,voice
what the hell is he doing?! he let himself get caught! strawhat!,348,franky,hell catch strawhat
"well then, we shall start the ceremony right away! i've already made the preparations!",348,absalom,shall start ceremony away make preparation
"put me down! you're the invisible man who was in the bathroom, aren't you?!",348,nami,invisible man bathroom
my name is absalom! it's the name of your future husband. be sure to remember it!,348,absalom,absalom future husband sure remember
keeping my body in shape everyday isn't something i do just to have some perverted beast spy on it!,348,nami,body shape everyday pervert beast spy
we're getting outta this forest!,348,usopp,outta forest
you won't get away from me!,348,lola,away
coup de... vent!,348,franky,coup vent
"cien fleur... wing! everyone seems to have fallen into the courtyard. this doesn't mean it's over, but...",348,nico robin,cien fleur wing fall courtyard mean
what is... that?,348,wall zombie,
only bones!,348,brook,bone
"oi, stop! stop it! don't kill her! she's our nakama!",348,usopp,stop stop kill nakama
"bastard! bastard, stop!",348,tony tony chopper,bastard bastard stop
"hurry and escape, nami!",348,usopp,hurry escape nami
"wait, burglar cat! absalom is gonna be my groom! be gone! prepare to die!",348,lola,wait burglar cat absalom groom prepare die
wa-! wait a minute! i-! i'm...! i'm actually a man!,348,nami,wait minute actually man
"oi, oi.",348,usopp,
is that true?!,348,lola,true
that's right! it's a hobby of mine! it's no joke! plus... you and that beast man are perfect for each other! i thought i could give you all my support!,348,nami,hobby joke plus beast man perfect think support
really?!,348,lola,really
really! it's no joke!,348,nami,really joke
no one has ever given me such supportive thoughts before. you're the first person to ever have said such kind words to me. i... i...!,348,lola,supportive thought person say kind word
"raise your head, my friend. this is called friendship. my name is namizou. you may call me nami.",348,nami,raise head friend friendship namizou nami
friendship...! nami!,348,lola,friendship nami
she fell for it!,348,usopp,fell
